Name,Number,Date,Time,Temperature,RH,Height
Afeq,301,01/10/2019,02:00,20.5,89,10
Afeq,301,01/10/2019,05:00,19.4,91,10
Afeq,301,01/10/2019,08:00,25.5,77,10
Afeq,301,01/10/2019,11:00,28.5,63,10
Afeq,301,01/10/2019,14:00,28,64,10
Afeq,301,01/10/2019,17:00,26.4,68,10
Afeq,301,01/10/2019,20:00,24.7,74,10
Afeq,301,01/10/2019,23:00,22.4,82,10
Afeq,301,02/10/2019,02:00,20.8,88,10
Afeq,301,02/10/2019,05:00,20.8,88,10
Afeq,301,02/10/2019,08:00,26.3,68,10
Afeq,301,02/10/2019,11:00,27.8,59,10
Afeq,301,02/10/2019,14:00,28.2,59,10
Afeq,301,02/10/2019,17:00,26.4,66,10
Afeq,301,02/10/2019,20:00,24.3,73,10
Afeq,301,02/10/2019,23:00,21.5,77,10
Beit Jimal,7151,01/10/2019,02:00,21.6,89,355
Beit Jimal,7151,01/10/2019,05:00,21.1,90,355
Beit Jimal,7151,01/10/2019,08:00,24,73,355
Beit Jimal,7151,01/10/2019,11:00,28.1,54,355
Beit Jimal,7151,01/10/2019,14:00,29.5,50,355
Beit Jimal,7151,01/10/2019,17:00,25.2,67,355
Beit Jimal,7151,01/10/2019,20:00,23.6,75,355
Beit Jimal,7151,01/10/2019,23:00,21.9,83,355
Beit Jimal,7151,02/10/2019,02:00,20.8,88,355
Beit Jimal,7151,02/10/2019,05:00,20.5,91,355
Beit Jimal,7151,02/10/2019,08:00,24.4,70,355
Beit Jimal,7151,02/10/2019,11:00,29,48,355
Beit Jimal,7151,02/10/2019,14:00,30.5,44,355
Beit Jimal,7151,02/10/2019,17:00,25,67,355
Beit Jimal,7151,02/10/2019,20:00,21.9,77,355
Beit Jimal,7151,02/10/2019,23:00,20.7,82,355
Elon,4441,01/10/2019,02:00,20.7,90,300
Elon,4441,01/10/2019,05:00,20.6,95,300
Elon,4441,01/10/2019,08:00,24,80,300
Elon,4441,01/10/2019,11:00,27.9,60,300
Elon,4441,01/10/2019,14:00,27.5,63,300
Elon,4441,01/10/2019,17:00,24.3,74,300
Elon,4441,01/10/2019,20:00,22.9,80,300
Elon,4441,01/10/2019,23:00,21.5,87,300
Elon,4441,02/10/2019,02:00,20.5,91,300
Elon,4441,02/10/2019,05:00,20.5,91,300
Elon,4441,02/10/2019,08:00,23.2,78,300
Elon,4441,02/10/2019,11:00,27.5,60,300
Elon,4441,02/10/2019,14:00,27.7,58,300
Elon,4441,02/10/2019,17:00,24.2,70,300
Elon,4441,02/10/2019,20:00,21,81,300
Elon,4441,02/10/2019,23:00,19.8,85,300
Ein Hashofet,1121,01/10/2019,02:00,21.4,92,265
Ein Hashofet,1121,01/10/2019,05:00,21.1,91,265
Ein Hashofet,1121,01/10/2019,08:00,24.5,73,265
Ein Hashofet,1121,01/10/2019,11:00,28.2,57,265
Ein Hashofet,1121,01/10/2019,14:00,27.4,61,265
Ein Hashofet,1121,01/10/2019,17:00,24.6,72,265
Ein Hashofet,1121,01/10/2019,20:00,22.5,80,265
Ein Hashofet,1121,01/10/2019,23:00,22.1,84,265
Ein Hashofet,1121,02/10/2019,02:00,21.5,87,265
Ein Hashofet,1121,02/10/2019,05:00,21.4,84,265
Ein Hashofet,1121,02/10/2019,08:00,23.8,75,265
Ein Hashofet,1121,02/10/2019,11:00,28,49,265
Ein Hashofet,1121,02/10/2019,14:00,27.5,53,265
Ein Hashofet,1121,02/10/2019,17:00,24.8,64,265
Ein Hashofet,1121,02/10/2019,20:00,22.1,79,265
Ein Hashofet,1121,02/10/2019,23:00,21.1,83,265
Galed,1192,01/10/2019,02:00,22.2,90,185
Galed,1192,01/10/2019,05:00,21.4,92,185
Galed,1192,01/10/2019,08:00,24.2,77,185
Galed,1192,01/10/2019,11:00,28.7,57,185
Galed,1192,01/10/2019,14:00,28.5,58,185
Galed,1192,01/10/2019,17:00,25.6,70,185
Galed,1192,01/10/2019,20:00,23,80,185
Galed,1192,01/10/2019,23:00,22.5,83,185
Galed,1192,02/10/2019,02:00,21.6,88,185
Galed,1192,02/10/2019,05:00,21.6,85,185
Galed,1192,02/10/2019,08:00,25.2,70,185
Galed,1192,02/10/2019,11:00,28.5,51,185
Galed,1192,02/10/2019,14:00,28.5,53,185
Galed,1192,02/10/2019,17:00,25.6,64,185
Galed,1192,02/10/2019,20:00,22.7,77,185
Galed,1192,02/10/2019,23:00,21.7,81,185
Zikuk,600,01/10/2019,02:00,23,82,5
Zikuk,600,01/10/2019,05:00,21.3,87,5
Zikuk,600,01/10/2019,08:00,25.7,76,5
Zikuk,600,01/10/2019,11:00,30.4,54,5
Zikuk,600,01/10/2019,14:00,29.9,56,5
Zikuk,600,01/10/2019,17:00,27.4,64,5
Zikuk,600,01/10/2019,20:00,26.4,67,5
Zikuk,600,01/10/2019,23:00,25.2,72,5
Zikuk,600,02/10/2019,02:00,23.5,80,5
Zikuk,600,02/10/2019,05:00,22.1,82,5
Zikuk,600,02/10/2019,08:00,27.4,62,5
Zikuk,600,02/10/2019,11:00,30.5,52,5
Zikuk,600,02/10/2019,14:00,30.3,51,5
Zikuk,600,02/10/2019,17:00,27.2,62,5
Zikuk,600,02/10/2019,20:00,24.9,70,5
Zikuk,600,02/10/2019,23:00,22.9,77,5
